CompA	CompB	Pairs	PredictedScore	Structure	GeneExpr	PMID	Maps	Target	Path	ATC
Erlotinib	Sunitinib	Erlotinib_Sunitinib	0.5443	0.2065	0.7127	0.0194	0	0	0.3333	0.8
Dasatinib	Erlotinib	Dasatinib_Erlotinib	0.397	0.2083	0.5677	0.0114	0	0	0.4286	0.8
gefitinib	Sunitinib	gefitinib_Sunitinib	0.3137	0.1526	0.5409	0	1	0	0.2857	0.8
Dasatinib	fulvestrant	Dasatinib_fulvestrant	0.3069	0.1319	0.603	0	0	0	0	0.2
Dasatinib	wortmannin	Dasatinib_wortmannin	0.3023	0.0997	0.6321	0	NA	NA	NA	NA
Erlotinib	LY-294002	Erlotinib_LY-294002	0.3016	0.1365	0.6169	0	NA	NA	NA	NA
Erlotinib	gossypol	Erlotinib_gossypol	0.3014	0.0828	0.6389	0	NA	NA	NA	NA
Dasatinib	LY-294002	Dasatinib_LY-294002	0.3003	0.0853	0.6653	0	NA	NA	NA	NA
Erlotinib	thioridazine	Erlotinib_thioridazine	0.2996	0.2007	0.6207	0	0	0	0	NA
Dasatinib	thioridazine	Dasatinib_thioridazine	0.2978	0.1862	0.6127	0	0	0	0	NA
Erlotinib	resveratrol	Erlotinib_resveratrol	0.2938	0.1435	0.603	0	NA	NA	NA	NA
Dasatinib	trichostatin A	Dasatinib_trichostatin A	0.2936	0.1379	0.6041	0	NA	NA	NA	NA
Erlotinib	pyrvinium	Erlotinib_pyrvinium	0.2933	0.087	0.6262	0	NA	0	0	NA
Dasatinib	trifluoperazine	Dasatinib_trifluoperazine	0.2925	0.1751	0.6032	0	0	0	0	NA
LY-294002	Sunitinib	LY-294002_Sunitinib	0.2923	0.0807	0.6193	0	NA	NA	NA	NA
Erlotinib	wortmannin	Erlotinib_wortmannin	0.2897	0.1552	0.5959	0	NA	NA	NA	NA
Sunitinib	thioridazine	Sunitinib_thioridazine	0.2896	0.1906	0.5964	0	0	0	0	NA
alexidine	Erlotinib	alexidine_Erlotinib	0.2895	0.0996	0.6156	0	NA	0	0	NA
Dasatinib	Sunitinib	Dasatinib_Sunitinib	0.2887	0.276	0.4619	0.0096	1	0.0625	0.6	0.8
Dasatinib	sirolimus	Dasatinib_sirolimus	0.2882	0.0172	0.6462	0	NA	NA	NA	NA
Erlotinib	quinostatin	Erlotinib_quinostatin	0.2854	0.3008	0.5665	0	NA	NA	NA	NA
Dasatinib	tanespimycin	Dasatinib_tanespimycin	0.2841	0.1565	0.596	0	NA	0	0	NA
Erlotinib	trifluoperazine	Erlotinib_trifluoperazine	0.2831	0.1825	0.5903	0	0	0	0	NA
pyrvinium	Sunitinib	pyrvinium_Sunitinib	0.2825	0.1309	0.5997	0	NA	0	0	NA
Dasatinib	prochlorperazine	Dasatinib_prochlorperazine	0.2815	0.2027	0.5852	0	0	0	0	NA
Erlotinib	tyrphostin AG-1478	Erlotinib_tyrphostin AG-1478	0.2812	0.4156	0.5456	0	NA	NA	NA	NA
Sunitinib	wortmannin	Sunitinib_wortmannin	0.2801	0.185	0.5815	0	NA	NA	NA	NA
Dasatinib	vorinostat	Dasatinib_vorinostat	0.2797	0.1347	0.5865	0	NA	0	0.1429	0.6
5707885	Erlotinib	5707885_Erlotinib	0.2792	0.1618	0.5815	NA	NA	NA	NA	NA
Erlotinib	niclosamide	Erlotinib_niclosamide	0.2783	0.0499	0.6178	0	NA	0	0	NA
benzethonium chloride	Erlotinib	benzethonium chloride_Erlotinib	0.2756	0.1865	0.5826	0	NA	0	0	NA
astemizole	Erlotinib	astemizole_Erlotinib	0.2752	0.1136	0.5973	0	0	0	0	NA
fulvestrant	Sunitinib	fulvestrant_Sunitinib	0.2737	0.1493	0.5758	0	0	0	0	0.2
Erlotinib	mefloquine	Erlotinib_mefloquine	0.2733	0.1313	0.5918	0	0	0	0	NA
Erlotinib	methylbenzethonium chloride	Erlotinib_methylbenzethonium chloride	0.2724	0.058	0.6071	0	NA	NA	NA	NA
5707885	Sunitinib	5707885_Sunitinib	0.2714	0.2288	0.5638	NA	NA	NA	NA	NA
Sunitinib	trichostatin A	Sunitinib_trichostatin A	0.2705	0.218	0.5686	0	NA	NA	NA	NA
5224221	Erlotinib	5224221_Erlotinib	0.2684	0.2487	0.5585	NA	NA	NA	NA	NA
Erlotinib	prochlorperazine	Erlotinib_prochlorperazine	0.2679	0.1962	0.5753	0	0	0	0	NA
Dasatinib	gefitinib	Dasatinib_gefitinib	0.2678	0.1037	0.5236	0	1	0	0.375	0.8
Dasatinib	quinostatin	Dasatinib_quinostatin	0.2674	0.2138	0.5673	0	NA	NA	NA	NA
Erlotinib	rottlerin	Erlotinib_rottlerin	0.2665	0.1588	0.5772	0	NA	NA	NA	NA
Erlotinib	sirolimus	Erlotinib_sirolimus	0.2659	0.0401	0.6083	0	NA	NA	NA	NA
gossypol	Sunitinib	gossypol_Sunitinib	0.2653	0.0507	0.6043	0	NA	NA	NA	NA
Sunitinib	trifluoperazine	Sunitinib_trifluoperazine	0.2633	0.1667	0.5777	0	0	0	0	NA
resveratrol	Sunitinib	resveratrol_Sunitinib	0.2629	0.0972	0.5891	0	NA	NA	NA	NA
Erlotinib	fulvestrant	Erlotinib_fulvestrant	0.2607	0.1579	0.5671	0	0	0	0	0.2
Dasatinib	geldanamycin	Dasatinib_geldanamycin	0.2581	0.1166	0.5815	0	NA	NA	NA	NA
Sunitinib	tanespimycin	Sunitinib_tanespimycin	0.2574	0.1987	0.5678	0	NA	0	0	NA
0297417-0002B	Dasatinib	0297417-0002B_Dasatinib	0.2548	NA	0.5802	NA	NA	NA	NA	NA
Sunitinib	syrosingopine	Sunitinib_syrosingopine	0.2543	0.1674	0.5717	0	NA	0	0	NA
Erlotinib	prenylamine	Erlotinib_prenylamine	0.2539	0.1372	0.5774	0	NA	0	0	NA
alexidine	Sunitinib	alexidine_Sunitinib	0.2539	0.0797	0.5905	0	NA	0	0	NA
Dasatinib	rifabutin	Dasatinib_rifabutin	0.2537	0.1218	0.5808	0	0	0	0	NA
Erlotinib	tamoxifen	Erlotinib_tamoxifen	0.2526	0.2547	0.5428	0	0	0	0	0.2
Erlotinib	tonzonium bromide	Erlotinib_tonzonium bromide	0.2514	0.164	0.5676	NA	NA	0	0	NA
